"HedgeRatio","MeanEarnings","EarningsStdDev","VaR5Pct","MinEarnings","DerivativeCost","AveragePayout","NetReturn","ROI"
0,13094.8572287464,2116.53575798892,9350.16007671898,3360.45202215004,0,0,0,NA
0.1,13102.2006905519,2013.1590208445,9507.12705982158,3831.62517479325,416.625092095797,423.968553901381,7.3434618055835,1.76260670442161
0.2,13109.5441523575,1926.25021603069,9646.94902864656,4302.79832743646,833.250184191595,847.937107802761,14.686923611167,1.76260670442161
0.3,13116.8876141631,1858.12151634327,9767.943129455,4343.93405794857,1249.87527628739,1271.90566170414,22.0303854167505,1.7626067044216
0.4,13124.2310759687,1810.89377585383,9833.71152585719,4367.43839258887,1666.50036838319,1695.87421560552,29.373847222334,1.76260670442161
0.5,13131.5745377743,1786.22562643786,9896.30165845838,4390.94272722918,2083.12546047899,2119.8427695069,36.7173090279175,1.76260670442161
0.6,13138.9179995799,1785.05258545774,9931.01142650333,4414.44706186948,2499.75055257478,2543.81132340828,44.060770833501,1.7626067044216
0.7,13146.2614613854,1807.42039944895,9921.14648187105,4437.95139650978,2916.37564467058,2967.77987730966,51.4042326390845,1.76260670442161
0.8,13153.604923191,1852.47652914359,9841.90417910028,4461.45573115008,3333.00073676638,3391.74843121105,58.7476944446662,1.76260670442161
0.9,13160.9483849966,1918.62323161698,9769.21333355388,4484.96006579038,3749.62582886218,3815.71698511243,66.0911562502497,1.76260670442161
1,13168.2918468022,2003.77292674637,9658.56367767471,4221.11864794647,4166.25092095797,4239.68553901381,73.4346180558332,1.76260670442161
