"Month","MonthNum","ExpectedMean","SimulatedMean","Difference"
"Jan",1,0.855966886876168,1.04737353830028,0.191406651424112
"Feb",2,1.75758495153703,2.88091844203936,1.12333349050233
"Mar",3,4.6231309969367,6.60723463081702,1.98410363388032
"Apr",4,9.25432419031345,11.4570293979152,2.20270520760175
"May",5,14.0155763201605,15.9256018188971,1.91002549873662
"Jun",6,17.8930696585631,18.853084519674,0.960014861110896
"Jul",7,19.6312610917501,19.5087593516388,-0.122501740111318
"Aug",8,18.8603988564635,17.5717048455139,-1.28869401094957
"Sep",9,15.6990042894864,13.7355397797166,-1.96346450976976
"Oct",10,11.1883472591678,8.93591698258588,-2.25243027658191
"Nov",11,6.28999912721619,4.49559206898807,-1.79440705822812
"Dec",12,2.59129842514228,1.61789685951919,-0.973401565623085
